id,ageInDays,ageInDaysForYear,ageInYears,amateurClubName,amateurLeague,birthDate,birthPlace,countryCode,csPlayerId,draftDate,draftMasterId,draftYear,draftedByTeamId,firstName,height,lastName,notes,overallPickNumber,pickInRound,playerId,playerName,position,removedOutright,removedOutrightWhy,roundNumber,shootsCatches,supplementalDraft,teamPickHistory,triCode,weight
10686,6703.0,129.0,18.0,Medford H.S.,Mass.,1969-02-04,"Medford, MA  USA",USA,,1987-06-13,26,1987,10,Joe,73.0,Sacco,,71,8,8451093,Joe Sacco,LW,N,,4,L,N,TOR,TOR,190.0
10699,7067.0,127.0,19.0,New Hampton Prep,N.H.,1968-02-06,"Pawtucket, RI  USA",USA,,1987-06-13,26,1987,7,John,72.0,Bradley,,84,21,8455683,John Bradley,G,N,,4,L,N,BUF,BUF,165.0
10725,6679.0,105.0,18.0,Matignon H.S.,Mass.,1969-02-28,"Waltham, MA  USA",USA,,1987-06-13,26,1987,5,Shawn,71.0,McEachern,,110,5,8457297,Shawn McEachern,LW,N,,6,L,N,PIT,PIT,200.0
10788,6700.0,126.0,18.0,New Prep School,Mass.,1969-02-07,"Randolph, MA  USA",USA,,1987-06-13,26,1987,5,Jack,70.0,MacDougall,,173,5,8457137,Jack MacDougall,RW,N,,9,R,N,PIT,PIT,194.0
10810,7009.0,70.0,19.0,Boston University,NCAA,1968-04-04,"Arlington, MA  USA",USA,,1987-06-13,26,1987,26,John,,Preston,,195,6,8457728,John Preston,C,N,,10,,N,LAK,LAK,
10842,7023.0,84.0,19.0,Phillips Academy,Mass.,1968-03-21,"Quincy, MA  USA",USA,,1987-06-13,26,1987,8,Ed,72.0,Ronan,,227,17,8457849,Ed Ronan,RW,N,,11,R,N,MTL,MTL,197.0
10854,6719.0,145.0,18.0,Northwood Prep,N.Y.,1969-01-19,"Chicago, IL  USA",USA,,1987-06-13,26,1987,16,Michael,70.0,Lappin,,239,8,8456979,Michael Lappin,C,N,,12,L,N,CHI,CHI,175.0
10935,6523.0,314.0,17.0,Thayer Academy,Mass.,1970-08-02,"Hingham, MA  USA",USA,,1988-06-11,28,1988,3,Tony,72.0,Amonte,,68,5,8455429,Tony Amonte,RW,N,,4,L,N,NYR,NYR,202.0
10989,7002.0,62.0,19.0,Boston University,NCAA,1969-04-10,"Vancouver, BC  CAN",CAN,,1988-06-11,28,1988,23,Philip,73.0,Von Stefenelli,,122,17,8458327,Philip Von Stefenelli,D,N,,6,L,N,VAN,VAN,195.0
11026,6556.0,347.0,17.0,Waltham H.S.,Mass.,1970-06-30,"Potsdam, NY  USA",USA,,1988-06-11,28,1988,1,Bryan,72.0,LaFort,,159,12,8456941,Bryan LaFort,G,N,,8,L,N,NJD,NJD,200.0
11032,6953.0,13.0,19.0,Boston University,NCAA,1969-05-29,"Timmins, ON  CAN",CAN,,1988-06-11,28,1988,6,Mark,72.0,Krys,,165,18,8456904,Mark Krys,D,N,,8,R,N,BOS,BOS,185.0
11062,6525.0,316.0,17.0,Medford H.S.,Mass.,1970-07-31,"Malden, MA  USA",USA,,1988-06-11,28,1988,10,David,73.0,Sacco,,195,6,8457905,David Sacco,LW,N,,10,R,N,TOR,TOR,190.0
11096,6707.0,133.0,18.0,Boston University,NCAA,1970-01-30,"Lloydminster, AB  CAN",CAN,,1988-06-11,28,1988,22,Darin,72.0,MacDonald,,229,19,8457132,Darin MacDonald,LW,N,,11,L,N,EDM,EDM,180.0
11183,6809.0,234.0,18.0,Boston University,NCAA,1970-10-26,"Amherst, NY  USA",USA,,1989-06-17,30,1989,33,Mark,74.0,Brownschidle,,64,1,8455723,Mark Brownschidle,D,N,,4,R,N,WIN,WIN,185.0
11218,6791.0,216.0,18.0,Catholic Memorial H.S.,Mass.,1970-11-13,"Dorchester, MA  USA",USA,,1989-06-17,30,1989,2,Kevin,72.0,O'Sullivan,,99,15,8457562,Kevin O'Sullivan,D,N,,5,L,N,NYI,NYI,180.0
11231,7210.0,270.0,19.0,Kanata,COJHL,1969-09-20,"Ottawa, ON  CAN",CAN,,1989-06-17,30,1989,31,Scott,74.0,Cashman,,112,7,8455817,Scott Cashman,G,N,,6,L,N,MNS,MNS,186.0
11241,6663.0,88.0,18.0,Catholic Memorial H.S.,Mass.,1971-03-21,"Brockton, MA  USA",USA,,1989-06-17,30,1989,6,Stephen,75.0,Foster,,122,17,8456292,Stephen Foster,LW,N,,6,R,N,BOS,BOS,210.0
11273,6840.0,265.0,18.0,Pingree H.S.,Mass.,1970-09-25,"Danvers, MA  USA",USA,,1989-06-17,30,1989,31,Jonathan,73.0,Pratt,,154,7,8457721,Jonathan Pratt,LW,N,,8,L,N,MNS,MNS,195.0
11300,7036.0,96.0,19.0,Cushing Academy,HIGH-MA,1970-03-13,"Roslindale, MA  USA",USA,,1989-06-17,30,1989,3,Mark,72.0,Bavis,,181,13,8455541,Mark Bavis,C,N,,9,L,N,NYR,NYR,175.0
11364,7036.0,96.0,19.0,Cushing Academy,HIGH-MA,1970-03-13,"Roslindale, MA  USA",USA,,1989-06-17,30,1989,7,Michael,72.0,Bavis,,245,14,8455542,Michael Bavis,RW,N,,12,R,N,BUF,BUF,180.0
11390,6654.0,80.0,18.0,Malden Catholic H.S.,Mass.,1972-03-28,"Melrose, MA  USA",USA,,1990-06-16,32,1990,33,Keith,74.0,Tkachuk,,19,19,8458229,Keith Tkachuk,C,N,,1,L,N,WIN,WIN,235.0
11409,6746.0,171.0,18.0,Boston University,NCAA,1971-12-27,"Chicoutimi, QC  CAN",CAN,,1990-06-16,32,1990,22,Alexandre,73.0,Legault,,38,17,8457039,Alexandre Legault,D,N,,2,R,N,EDM,EDM,205.0
11511,6526.0,317.0,17.0,Cushing Academy,HIGH-MA,1972-08-03,"Wakefield, MA  USA",USA,,1990-06-16,32,1990,33,John,69.0,Lilley,,140,14,8457065,John Lilley,C,N,,7,R,N,WIN,WIN,170.0
11523,6982.0,42.0,19.0,Boston University,NCAA,1971-05-05,"Helsinki, Finland",FIN,,1990-06-16,32,1990,5,Petteri,73.0,Koskimaki,,152,5,8456878,Petteri Koskimaki,C,N,,8,L,N,PIT,PIT,180.0
11608,6719.0,144.0,18.0,Madison West H.S.,Wisconsin,1972-01-23,"Madison, WI  USA",USA,,1990-06-16,32,1990,31,John,72.0,McKersie,,239,8,8457315,John McKersie,G,N,,12,L,N,MNS,MNS,210.0
11610,6540.0,331.0,17.0,Governor's Academy,Mass.,1972-07-20,"Montreal, QC  CAN",CAN,,1990-06-16,32,1990,10,Nick,70.0,Vachon,,241,10,8458283,Nick Vachon,C,N,,12,L,N,TOR,TOR,190.0
11625,6817.0,243.0,18.0,Boston University,NCAA,1972-10-22,"Charlottesville, VA  USA",USA,,1991-06-22,34,1991,2,Scott,73.0,Lachance,,4,4,8458518,Scott Lachance,D,N,,1,L,N,NYI,NYI,215.0
11660,6494.0,285.0,17.0,Springfield Olympics,NEJHL,1973-09-10,"New Haven, CT  USA",USA,,1991-06-22,34,1991,16,Michael,73.0,Pomichter,,39,17,8458553,Michael Pomichter,C,N,,2,L,N,CHI,CHI,198.0
11667,6782.0,208.0,18.0,Tabor Academy,Mass.,1972-11-26,"Schenectady, NY  USA",USA,2683.0,1991-06-22,34,1991,32,Rich,74.0,Brennan,,46,2,8458560,Rich Brennan,D,N,,3,R,N,QUE,QUE,212.0
11805,7204.0,264.0,19.0,St. Paul Vulcans,USHL,1971-10-01,"Minneapolis, MN  USA",USA,,1991-06-22,34,1991,31,Derek,72.0,Herlofsky,,184,8,8458696,Derek Herlofsky,G,N,,9,L,N,MNS,MNS,160.0
11843,7234.0,294.0,19.0,Boston University,NCAA,1971-09-01,"Cape Elizabeth, ME  USA",USA,,1991-06-22,34,1991,32,Doug,73.0,Friedman,,222,2,8458734,Doug Friedman,LW,N,,11,L,N,QUE,QUE,189.0
11915,6611.0,36.0,18.0,Catholic Memorial H.S.,Mass.,1974-05-15,"Dorchester, MA  USA",USA,,1992-06-20,36,1992,20,Chris,74.0,O'Sullivan,,30,6,8458966,Chris O'Sullivan,D,N,,2,L,N,CGY,CGY,213.0
12002,6927.0,353.0,18.0,Boston University,NCAA,1973-07-03,"Ottawa, ON  CAN",CAN,,1992-06-20,36,1992,23,Adrian,74.0,Aucoin,,117,21,8459053,Adrian Aucoin,D,N,,5,R,N,VAN,VAN,217.0
12019,6714.0,140.0,18.0,Springfield Olympics,NEJHL,1974-02-01,"North Hampton, MA  USA",USA,,1992-06-20,36,1992,19,Robert,71.0,Lachance,,134,14,8459070,Robert Lachance,RW,N,,6,R,N,STL,STL,175.0
12181,6756.0,181.0,18.0,Boston University,NCAA,1974-12-27,"Winchester, MA  USA",USA,,1993-06-26,38,1993,1,Jay,73.0,Pandolfo,,32,6,8459454,Jay Pandolfo,LW,N,,2,L,N,NJD,NJD,190.0
12197,6684.0,109.0,18.0,Phillips Academy,Mass.,1975-03-09,"Boston, MA  USA",USA,,1993-06-26,38,1993,17,Jonathan,73.0,Coleman,,48,22,8459470,Jonathan Coleman,D,N,,2,R,N,DET,DET,190.0
12224,6838.0,263.0,18.0,Lawrence H.S.,Mass.,1974-10-06,"Woburn, MA  USA",USA,,1993-06-26,38,1993,32,William,73.0,Pierce,,75,23,8459496,William Pierce,C,N,,3,L,N,QUE,QUE,190.0
12252,6659.0,84.0,18.0,Medford H.S.,Mass.,1975-04-03,"Medford, MA  USA",USA,28312.0,1993-06-26,38,1993,6,Shawn,72.0,Bates,,103,25,8459527,Shawn Bates,C,N,,4,R,N,BOS,BOS,210.0
12279,6670.0,95.0,18.0,St. Sebastian's School,HIGH-MA,1975-03-23,"Cambridge, MA  USA",USA,12334.0,1993-06-26,38,1993,5,Chris,73.0,Kelleher,,130,26,8459553,Chris Kelleher,D,N,,5,L,N,PIT,PIT,215.0
12368,6747.0,172.0,18.0,St. Sebastian's School,HIGH-MA,1975-01-05,"Detroit, MI  USA",USA,,1993-06-26,38,1993,19,Mike,73.0,Grier,,219,11,8459640,Mike Grier,RW,N,,9,R,N,STL,STL,224.0
12433,6672.0,97.0,18.0,Catholic Memorial H.S.,Mass.,1975-03-21,"Quincy, MA  USA",USA,,1993-06-26,38,1993,16,Tom,70.0,Noble,,284,24,8459698,Tom Noble,G,N,,11,L,N,CHI,CHI,165.0
12457,6654.0,80.0,18.0,Catholic Memorial H.S.,Mass.,1976-04-09,"Boston, MA  USA",USA,,1994-06-28,40,1994,32,Jeffrey,76.0,Kealty,,22,22,8460512,Jeffrey Kealty,D,N,,1,L,N,QUE,QUE,175.0
12507,6522.0,313.0,17.0,Fairfield Prep.,Conn.,1976-08-20,"Trumbull, CT  USA",USA,,1994-06-29,40,1994,32,Chris,70.0,Drury,,72,20,8460562,Chris Drury,C,N,,3,R,N,QUE,QUE,191.0
12551,6614.0,40.0,18.0,St. Sebastian's School,HIGH-MA,1976-05-20,"Cambridge, MA  USA",USA,,1994-06-29,40,1994,2,Albert,72.0,O'Connell,,116,12,8460604,Albert O'Connell,LW,N,,5,L,N,NYI,NYI,188.0
12904,8931.0,165.0,24.0,Boston University,NCAA,1971-01-24,"Helsinki, Finland",FIN,,1995-07-08,42,1995,9,Kaj,74.0,Linna,,183,1,8462214,Kaj Linna,D,N,,8,L,N,OTT,OTT,210.0
12984,7005.0,65.0,19.0,Enfield Jr. Whalers,EJHL,1977-04-18,"Hyannis, MA  USA",USA,13324.0,1996-06-22,43,1996,2,Dan,74.0,Lacouture,,29,3,8464983,Dan Lacouture,LW,N,,2,L,N,NYI,NYI,215.0
13014,7032.0,92.0,19.0,Cushing Academy,HIGH-MA,1977-03-22,"Worcester, MA  USA",USA,,1996-06-22,43,1996,22,Tom,75.0,Poti,,59,7,8465012,Tom Poti,D,N,,3,L,N,EDM,EDM,197.0
13092,7202.0,263.0,19.0,Boston University,NCAA,1976-10-03,"Lahr, Germany",DEU,,1996-06-22,43,1996,28,Michel,71.0,Larocque,,137,2,8465091,Michel Larocque,G,N,,6,L,N,SJS,SJS,198.0
13390,7071.0,131.0,19.0,Phillips-Exeter Academy,N.H.,1978-02-10,"Windham, NH  USA",USA,,1997-06-21,44,1997,10,Russ,73.0,Bartlett,,194,4,8466319,Russ Bartlett,C,N,,8,L,N,TOR,TOR,182.0
13399,7061.0,121.0,19.0,Cushing Academy,HIGH-MA,1978-02-20,"Cambridge, MA  USA",USA,,1997-06-21,44,1997,9,Nick,72.0,Gillis,,203,13,8466328,Nick Gillis,RW,N,,8,R,N,OTT,OTT,188.0
13431,7789.0,118.0,21.0,Boston University,NCAA,1976-02-23,"Espoo, Finland",FIN,,1997-06-21,44,1997,24,Tommi,73.0,Degerman,,235,18,8466359,Tommi Degerman,C,N,,9,L,N,ANA,ANA,176.0
13503,7062.0,122.0,19.0,Boston University,NCAA,1979-02-25,"Barrie, ON  CAN",CAN,,1998-06-27,45,1998,13,Joe,74.0,DiPenta,,61,3,8467387,Joe DiPenta,D,N,,3,R,N,FLA,FLA,220.0
13519,6860.0,285.0,18.0,St. Sebastian's School,HIGH-MA,1979-09-15,"Winchester, MA  USA",USA,,1998-06-27,45,1998,7,Mike,75.0,Pandolfo,,77,19,8467402,Mike Pandolfo,LW,N,,3,L,N,BUF,BUF,218.0
13642,7198.0,258.0,19.0,Boston University,NCAA,1978-10-12,"Boston, MA  USA",USA,,1998-06-27,45,1998,25,Scott,72.0,Perry,,200,27,8467508,Scott Perry,C,N,,7,L,N,DAL,DAL,180.0
13738,7054.0,115.0,19.0,Boston University,NCAA,1980-03-03,"Springfield, MA  USA",USA,3828.0,1999-06-26,46,1999,20,Dan,73.0,Cavanaugh,,38,10,8467911,Dan Cavanaugh,C,N,,2,R,N,CGY,CGY,190.0
13787,6860.0,286.0,18.0,St. John's H.S.,Mass.,1980-09-13,"Worcester, MA  USA",USA,4548.0,1999-06-26,46,1999,2,Brian,73.0,Collins,,87,21,8467960,Brian Collins,C,N,,3,L,N,NYI,NYI,190.0
13790,6934.0,360.0,18.0,Boston University,NCAA,1980-07-01,"Winchester, MA  USA",USA,660.0,1999-06-26,46,1999,3,Patrick,74.0,Aufiero,,90,24,8467963,Patrick Aufiero,D,N,,3,R,N,NYR,NYR,186.0
13797,7185.0,245.0,19.0,Boston University,NCAA,1979-10-24,"Stoneham, MA  USA",USA,,1999-06-26,46,1999,8,Chris,74.0,Dyment,,97,1,8467970,Chris Dyment,D,N,,4,R,N,MTL,MTL,201.0
13936,6995.0,56.0,19.0,Nobles Prep,Mass.,1980-05-01,"Duxbury, MA  USA",USA,5150.0,1999-06-26,46,1999,6,John,74.0,Cronin,,236,21,8468109,John Cronin,D,N,,8,R,N,BOS,BOS,200.0
470,6853.0,279.0,18.0,Boston University,NCAA,1981-09-19,"Winthrop, MA  USA",USA,6226.0,2000-06-24,47,2000,2,Rick,73.0,DiPietro,,1,1,8468481,Rick DiPietro,G,N,,1,R,N,NYI,NYI,190.0
1,6913.0,339.0,18.0,Vernon,BCHL,1981-07-22,"Kelowna, BC  CAN",CAN,15227.0,2000-06-25,47,2000,1,Ken,74.0,Magowan,,198,1,8468678,Ken Magowan,LW,N,,7,L,N,NJD (from ATL),NJD,207.0
359,7003.0,63.0,19.0,Boston University,H-EAST,1982-04-22,"Martin, Slovakia",SVK,47339.0,2001-06-24,48,2001,21,Frantisek,72.0,Skladany,,143,12,8469590,Frantisek Skladany,LW,N,,5,L,N,COL (from NYR),COL,185.0
364,7022.0,82.0,19.0,Des Moines,USHL,1982-04-03,"Roseau, MN  USA",USA,12721.0,2001-06-24,48,2001,27,David,72.0,Klema,,148,17,8469595,David Klema,C,N,,5,L,N,PHX,PHX,178.0
438,6946.0,6.0,19.0,Boston University,H-EAST,1982-06-18,"Windsor, CT  USA",USA,11831.0,2001-06-24,48,2001,9,Gregg,70.0,Johnson,,256,29,8469699,Gregg Johnson,C,N,,8,L,N,OTT,OTT,183.0
719,7063.0,123.0,19.0,Boston University,H-EAST,1983-02-19,"Boston, MA  USA",USA,26075.0,2002-06-22,49,2002,5,Ryan,75.0,Whitney,,5,5,8470309,Ryan Whitney,D,N,,1,L,N,PIT,PIT,210.0
753,7081.0,141.0,19.0,Boston University,H-EAST,1983-02-01,"Boston, MA  USA",USA,16052.0,2002-06-22,49,2002,20,Brian,74.0,McConnell,,39,9,8470313,Brian McConnell,C,N,,2,L,N,CGY,CGY,190.0
766,6885.0,310.0,18.0,Winchester H.S.,USHSE,1983-08-16,"Winchester, MA  USA",USA,23149.0,2002-06-22,49,2002,28,Dan,72.0,Spang,,52,22,8470314,Dan Spang,D,N,,2,L,N,SJS (from PHX),SJS,205.0
828,6897.0,322.0,18.0,Jr. Monarchs,EJHL,1983-08-05,"Portland, ME  USA",USA,13430.0,2002-06-23,49,2002,23,John,73.0,Laliberte,,114,18,8470296,John Laliberte,RW,N,,4,L,N,VAN,VAN,185.0
833,7391.0,86.0,20.0,Apple Core,EJHL,1982-03-29,"Riga, Latvia",LVA,45059.0,2002-06-23,49,2002,29,Jekabs,74.0,Redlihs,,119,23,8470161,Jekabs Redlihs,D,N,,4,L,N,CBJ (from NYI),CBJ,185.0
914,6934.0,359.0,18.0,Boston University,H-EAST,1983-06-29,"Milwaukee, WI  USA",USA,15284.0,2002-06-23,49,2002,19,Justin,73.0,Maiser,,165,34,8470045,Justin Maiser,F,N,,5,L,N,STL (from BOS),STL,191.0
667,7004.0,64.0,19.0,Chilliwack,BCHL,1983-04-20,"Abbotsford, BC  CAN",CAN,25046.0,2002-06-23,49,2002,20,David,70.0,Van Der Gulik,,206,9,8470189,David Van Der Gulik,RW,N,,7,L,N,CGY,CGY,173.0
999,7110.0,170.0,19.0,St. Sebastian's School,USHSE,1984-01-02,"Boston, MA  USA",USA,20943.0,2003-06-21,50,2003,3,Ken,71.0,Roche,,75,7,8470668,Ken Roche,C,N,,3,L,N,NYR (from SJS),NYR,185.0
1043,7184.0,244.0,19.0,Des Moines,USHL,1983-10-21,"St. Paul, MN  USA",USA,17490.0,2003-06-22,50,2003,7,Thomas,78.0,Morrow,,150,14,8470742,Thomas Morrow,D,N,,5,L,N,BUF (from LAK),BUF,198.0
1202,7024.0,85.0,19.0,St. Sebastian's School,USHSE,1984-03-29,"Boston, MA  USA",USA,23799.0,2003-06-22,50,2003,27,Sean,72.0,Sullivan,,272,11,8470861,Sean Sullivan,D,N,,9,L,N,PHX,PHX,190.0
