last,first,name,height,DOB,homeTown,year,team,city,state,country
Currier,Benjamin,Benjamin Currier,- ,,,1926,BU,,,
Gibson,William,William Gibson,- ,,,1926,BU,,,
Goodale,William,William Goodale,- ,,,1926,BU,,,
Gregoire,Ovila,Ovila Gregoire,- ,,,1926,BU,,,
Kimball,Arthur,Arthur Kimball,- ,,,1926,BU,,,
Lawless,John,John Lawless,- ,,,1926,BU,,,
MacKenzie,Russell,Russell MacKenzie,- ,,,1926,BU,,,
Nelson,Hugo,Hugo Nelson,- ,,,1926,BU,,,
Viano,Charles,Charles Viano,- ,,,1926,BU,,,
Silberberg,Sydney,Sydney Silberberg,- ,,,1926,BU,,,
Elliott,Robert,Robert Elliott,- ,10/11/1907,"Medford, Massachusetts",1927,BU,Medford,Massachusetts,United States
Baron,Leo,Leo Baron,- ,,,1927,BU,,,
Currier,Benjamin,Benjamin Currier,- ,,,1927,BU,,,
Gibson,William,William Gibson,- ,,,1927,BU,,,
Goodale,William,William Goodale,- ,,,1927,BU,,,
Gregoire,Ovila,Ovila Gregoire,- ,,,1927,BU,,,
Grodberg,Burton,Burton Grodberg,- ,,,1927,BU,,,
Lawless,John,John Lawless,- ,,,1927,BU,,,
Lombard,Richard,Richard Lombard,- ,,,1927,BU,,,
Nelson,Hugo,Hugo Nelson,- ,,,1927,BU,,,
Viano,Charles,Charles Viano,- ,,,1927,BU,,,
Whitmore,Holmes,Holmes Whitmore,- ,,,1927,BU,,,
Silberberg,Sydney,Sydney Silberberg,- ,,,1927,BU,,,
Elliott,Robert,Robert Elliott,- ,10/11/1907,"Medford, Massachusetts",1928,BU,Medford,Massachusetts,United States
Baron,Leo,Leo Baron,- ,,,1928,BU,,,
Bergholtz,Paul,Paul Bergholtz,- ,,,1928,BU,,,
Borofsky,Isidore,Isidore Borofsky,- ,,,1928,BU,,,
Currier,Benjamin,Benjamin Currier,- ,,,1928,BU,,,
Fredrickson,W.,W. Fredrickson,- ,,,1928,BU,,,
Gibson,William,William Gibson,- ,,,1928,BU,,,
Goddard,Holmes,Holmes Goddard,- ,,,1928,BU,,,
Grodberg,Burton,Burton Grodberg,- ,,,1928,BU,,,
Lombard,Richard,Richard Lombard,- ,,,1928,BU,,,
Nelson,Hugo,Hugo Nelson,- ,,,1928,BU,,,
Roblin,Stephen,Stephen Roblin,- ,,,1928,BU,,,
Snow,Randell,Randell Snow,- ,,,1928,BU,,,
Whitmore,Holmes,Holmes Whitmore,- ,,,1928,BU,,,
Silberberg,Sydney,Sydney Silberberg,- ,,,1928,BU,,,
Elliott,Robert,Robert Elliott,- ,10/11/1907,"Medford, Massachusetts",1929,BU,Medford,Massachusetts,United States
Arkin,Jacob,Jacob Arkin,- ,,,1929,BU,,,
Baron,Leo,Leo Baron,- ,,,1929,BU,,,
Bergholtz,Paul,Paul Bergholtz,- ,,,1929,BU,,,
Borofsky,Isidore,Isidore Borofsky,- ,,,1929,BU,,,
Brown,George,George Brown,- ,,,1929,BU,,,
Clem,Carl,Carl Clem,- ,,,1929,BU,,,
Currier,Benjamin,Benjamin Currier,- ,,,1929,BU,,,
French,Richard,Richard French,- ,,,1929,BU,,,
Goddard,Holmes,Holmes Goddard,- ,,,1929,BU,,,
Grodberg,Burton,Burton Grodberg,- ,,,1929,BU,,,
Lombard,Richard,Richard Lombard,- ,,,1929,BU,,,
Nelson,Hugo,Hugo Nelson,- ,,,1929,BU,,,
Peterson,Carlton,Carlton Peterson,- ,,,1929,BU,,,
Raymond,Albert,Albert Raymond,- ,,,1929,BU,,,
Weafer,Ronald,Ronald Weafer,- ,,,1929,BU,,,
Whitmore,Holmes,Holmes Whitmore,- ,,,1929,BU,,,
Baron,Leo,Leo Baron,- ,,,1930,BU,,,
Bender,Walter,Walter Bender,- ,11/1/1910,"Arlington, Massachusetts",1930,BU,Arlington,Massachusetts,United States
Bergholtz,Paul,Paul Bergholtz,- ,,,1930,BU,,,
Brown,George,George Brown,- ,,,1930,BU,,,
Clem,Carl,Carl Clem,- ,,,1930,BU,,,
French,Richard,Richard French,- ,,,1930,BU,,,
Grodberg,Burton,Burton Grodberg,- ,,,1930,BU,,,
Harrington,Daniel,Daniel Harrington,- ,,,1930,BU,,,
Herman,Nathan,Nathan Herman,- ,,,1930,BU,,,
Lombard,Richard,Richard Lombard,- ,,,1930,BU,,,
Peterson,Carlton,Carlton Peterson,- ,,,1930,BU,,,
Raymond,Albert,Albert Raymond,- ,,,1930,BU,,,
Toohey,Paul,Paul Toohey,- ,,,1930,BU,,,
Walker,John,John Walker,- ,,,1930,BU,,,
Weafer,Ronald,Ronald Weafer,- ,,,1930,BU,,,
Whitmore,Holmes,Holmes Whitmore,- ,,,1930,BU,,,
Wilson,Arthur,Arthur Wilson,- ,,,1930,BU,,,
Wight,Russell,Russell Wight,- ,,,1931,BU,,,
Bender,Walter,Walter Bender,- ,11/1/1910,"Arlington, Massachusetts",1931,BU,Arlington,Massachusetts,United States
Clem,Carl,Carl Clem,- ,,,1931,BU,,,
French,Richard,Richard French,- ,,,1931,BU,,,
Harrington,Daniel,Daniel Harrington,- ,,,1931,BU,,,
Herman,Nathan,Nathan Herman,- ,,,1931,BU,,,
McDonald,Joseph,Joseph McDonald,- ,,,1931,BU,,,
Murphy,Jack,Jack Murphy,- ,,,1931,BU,,,
Peterson,Carlton,Carlton Peterson,- ,,,1931,BU,,,
Rice,Lindsey,Lindsey Rice,- ,,,1931,BU,,,
Slade,Kenneth,Kenneth Slade,- ,,,1931,BU,,,
Smith,James,James Smith,- ,,,1931,BU,,,
Ullman,John,John Ullman,- ,,,1931,BU,,,
Walker,John,John Walker,- ,,,1931,BU,,,
Weafer,Ronald,Ronald Weafer,- ,,,1931,BU,,,
Wilson,Arthur,Arthur Wilson,- ,,,1931,BU,,,
Wight,Russell,Russell Wight,- ,,,1932,BU,,,
Bell,Robert,Robert Bell,- ,,,1932,BU,,,
Bender,Walter,Walter Bender,- ,11/1/1910,"Arlington, Massachusetts",1932,BU,Arlington,Massachusetts,United States
Clem,Carl,Carl Clem,- ,,,1932,BU,,,
Harrington,Daniel,Daniel Harrington,- ,,,1932,BU,,,
Hathaway,Kenneth,Kenneth Hathaway,- ,,,1932,BU,,,
Herman,Nathan,Nathan Herman,- ,,,1932,BU,,,
Lax,John,John Lax,- ,7/23/1911,"Arlington, Massachusetts",1932,BU,Arlington,Massachusetts,United States
Lucey,Lawrence,Lawrence Lucey,- ,,,1932,BU,,,
Nickerson,Robert,Robert Nickerson,- ,,,1932,BU,,,
Nickerson,Herman,Herman Nickerson,- ,,,1932,BU,,,
Racheotes,George,George Racheotes,- ,,,1932,BU,,,
Rice,Lindsey,Lindsey Rice,- ,,,1932,BU,,,
Rowe,Paul,Paul Rowe,- ,5/5/1914,"Somerville, Massachusetts",1932,BU,Somerville,Massachusetts,United States
Scammell,Palmer,Palmer Scammell,- ,,,1932,BU,,,
Smith,Russell,Russell Smith,- ,,,1932,BU,,,
Smith,James,James Smith,- ,,,1932,BU,,,
Ullman,John,John Ullman,- ,,,1932,BU,,,
Walker,John,John Walker,- ,,,1932,BU,,,
Weafer,Ronald,Ronald Weafer,- ,,,1932,BU,,,
Wight,Russell,Russell Wight,- ,,,1933,BU,,,
Borofsky,Sydney,Sydney Borofsky,- ,,,1933,BU,,,
Gaul,Leo,Leo Gaul,- ,,,1933,BU,,,
Hartigan,Tom,Tom Hartigan,- ,,,1933,BU,,,
James,Herbert,Herbert James,- ,,,1933,BU,,,
Lax,John,John Lax,- ,7/23/1911,"Arlington, Massachusetts",1933,BU,Arlington,Massachusetts,United States
Lucey,Lawrence,Lawrence Lucey,- ,,,1933,BU,,,
Nickerson,Robert,Robert Nickerson,- ,,,1933,BU,,,
Nickerson,Herman,Herman Nickerson,- ,,,1933,BU,,,
Pierce,Howard,Howard Pierce,- ,,,1933,BU,,,
Racheotes,George,George Racheotes,- ,,,1933,BU,,,
Rosenfeld,John,John Rosenfeld,- ,,,1933,BU,,,
Rowe,Paul,Paul Rowe,- ,5/5/1914,"Somerville, Massachusetts",1933,BU,Somerville,Massachusetts,United States
Scammell,Palmer,Palmer Scammell,- ,,,1933,BU,,,
Smith,Russell,Russell Smith,- ,,,1933,BU,,,
Smith,James,James Smith,- ,,,1933,BU,,,
Taylor,John,John Taylor,- ,,,1933,BU,,,
Ullman,John,John Ullman,- ,,,1933,BU,,,
Wesson,Dexter,Dexter Wesson,- ,,,1933,BU,,,
Borofsky,Sydney,Sydney Borofsky,- ,,,1934,BU,,,
Campbell,X,X Campbell,- ,,,1934,BU,,,
Donohue,Joseph,Joseph Donohue,- ,,,1934,BU,,,
Hartigan,Tom,Tom Hartigan,- ,,,1934,BU,,,
James,Herbert,Herbert James,- ,,,1934,BU,,,
Lax,John,John Lax,- ,7/23/1911,"Arlington, Massachusetts",1934,BU,Arlington,Massachusetts,United States
Lucey,Lawrence,Lawrence Lucey,- ,,,1934,BU,,,
Lynch,Russell,Russell Lynch,- ,,,1934,BU,,,
Miner,X,X Miner,- ,,,1934,BU,,,
Neilson,Robert,Robert Neilson,- ,,,1934,BU,,,
Nickerson,Herman,Herman Nickerson,- ,,,1934,BU,,,
Pierce,Howard,Howard Pierce,- ,,,1934,BU,,,
Racheotes,George,George Racheotes,- ,,,1934,BU,,,
Rowe,Paul,Paul Rowe,- ,5/5/1914,"Somerville, Massachusetts",1934,BU,Somerville,Massachusetts,United States
Scammell,Palmer,Palmer Scammell,- ,,,1934,BU,,,
Sherman,Dick,Dick Sherman,- ,,,1934,BU,,,
Smith,Russell,Russell Smith,- ,,,1934,BU,,,
Wesson,Dexter,Dexter Wesson,- ,,,1934,BU,,,
Borofsky,Sydney,Sydney Borofsky,- ,,,1935,BU,,,
Carvelli,Al,Al Carvelli,- ,,,1935,BU,,,
Chandler,Carlton,Carlton Chandler,- ,,,1935,BU,,,
Cleverly,Harry,Harry Cleverly,- ,,,1935,BU,,,
Desrosiers,Gerry,Gerry Desrosiers,5-9 ,,,1935,BU,,,
Donohue,Joseph,Joseph Donohue,- ,,,1935,BU,,,
Engberg,Carl,Carl Engberg,- ,,,1935,BU,,,
Fohlin,Paul,Paul Fohlin,- ,,,1935,BU,,,
Hartigan,Tom,Tom Hartigan,- ,,,1935,BU,,,
Hauser,William,William Hauser,- ,,,1935,BU,,,
Hoar,George,George Hoar,- ,,,1935,BU,,,
James,Herbert,Herbert James,- ,,,1935,BU,,,
Kelley,Robert,Robert Kelley,- ,,,1935,BU,,,
Lynch,Russell,Russell Lynch,- ,,,1935,BU,,,
Powell,Neil,Neil Powell,- ,,,1935,BU,,,
Warshaw,Bernard,Bernard Warshaw,- ,,,1935,BU,,,
Wesson,Dexter,Dexter Wesson,- ,,,1935,BU,,,
Woodward,Albert,Albert Woodward,- ,,,1935,BU,,,
Chandler,Carlton,Carlton Chandler,- ,,,1936,BU,,,
Chilson,Chester,Chester Chilson,- ,,,1936,BU,,,
Cleverly,Harry,Harry Cleverly,- ,,,1936,BU,,,
Colburn,Robert,Robert Colburn,- ,,,1936,BU,,,
Cowdery,Bud,Bud Cowdery,- ,,,1936,BU,,,
Desrosiers,Gerry,Gerry Desrosiers,5-9 ,,,1936,BU,,,
Dow,Richard,Richard Dow,- ,,,1936,BU,,,
Engberg,Carl,Carl Engberg,- ,,,1936,BU,,,
Fagerland,John,John Fagerland,- ,,,1936,BU,,,
Freeman,William,William Freeman,- ,,,1936,BU,,,
Hardiman,William,William Hardiman,- ,,,1936,BU,,,
Hauser,William,William Hauser,- ,,,1936,BU,,,
Hoar,George,George Hoar,- ,,,1936,BU,,,
Kelleher,Frederick,Frederick Kelleher,- ,,,1936,BU,,,
Kelley,Robert,Robert Kelley,- ,,,1936,BU,,,
Lynch,Russell,Russell Lynch,- ,,,1936,BU,,,
Neviackas,Veto,Veto Neviackas,- ,,,1936,BU,,,
O'Sullivan,Joseph,Joseph O'Sullivan,- ,,,1936,BU,,,
Powell,Neil,Neil Powell,- ,,,1936,BU,,,
Woodward,Albert,Albert Woodward,- ,,,1936,BU,,,
Carvelli,Al,Al Carvelli,- ,,,1937,BU,,,
Chandler,Carlton,Carlton Chandler,- ,,,1937,BU,,,
Colburn,Robert,Robert Colburn,- ,,,1937,BU,,,
Conaty,Joe,Joe Conaty,- ,,,1937,BU,,,
Desrosiers,Gerry,Gerry Desrosiers,5-9 ,,,1937,BU,,,
Dewhurst,John,John Dewhurst,- ,,,1937,BU,,,
Dow,Richard,Richard Dow,- ,,,1937,BU,,,
Elliott,John,John Elliott,- ,,,1937,BU,,,
Fagerland,John,John Fagerland,- ,,,1937,BU,,,
Hoar,George,George Hoar,- ,,,1937,BU,,,
Kelleher,Frederick,Frederick Kelleher,- ,,,1937,BU,,,
McCaleb,Clifton,Clifton McCaleb,- ,,,1937,BU,,,
Neviackas,Veto,Veto Neviackas,- ,,,1937,BU,,,
O'Sullivan,Joseph,Joseph O'Sullivan,- ,,,1937,BU,,,
Powell,Neil,Neil Powell,- ,,,1937,BU,,,
Richardson,Ed,Ed Richardson,- ,,,1937,BU,,,
Warshaw,Bernard,Bernard Warshaw,- ,,,1937,BU,,,
Wilkens,Ray,Ray Wilkens,- ,,,1937,BU,,,
Williams,Lytle,Lytle Williams,- ,,,1937,BU,,,
Woodward,Albert,Albert Woodward,- ,,,1937,BU,,,
Brown,Paul,Paul Brown,- ,,,1938,BU,,,
Carvelli,Al,Al Carvelli,- ,,,1938,BU,,,
Chambers,John,John Chambers,5-9 ,7/9/1917,"Needham, Massachusetts",1938,BU,Needham,Massachusetts,United States
Conaty,Joe,Joe Conaty,- ,,,1938,BU,,,
Cummings,Whitley,Whitley Cummings,- ,,,1938,BU,,,
Dow,Richard,Richard Dow,- ,,,1938,BU,,,
Elliott,John,John Elliott,- ,,,1938,BU,,,
Fagerland,John,John Fagerland,- ,,,1938,BU,,,
Geary,John,John Geary,- ,,,1938,BU,,,
Herrick,Jack,Jack Herrick,- ,,,1938,BU,,,
Hiller,X,X Hiller,- ,,,1938,BU,,,
Hines,Bud,Bud Hines,- ,,,1938,BU,,,
Lacroix,Edouard,Edouard Lacroix,- ,,,1938,BU,,,
McCaleb,Clifton,Clifton McCaleb,- ,,,1938,BU,,,
Neviackas,Veto,Veto Neviackas,- ,,,1938,BU,,,
Nickles,X,X Nickles,- ,,,1938,BU,,,
O'Sullivan,Joseph,Joseph O'Sullivan,- ,,,1938,BU,,,
Reed,Larry,Larry Reed,- ,,,1938,BU,,,
Richardson,Ed,Ed Richardson,- ,,,1938,BU,,,
Walker,John,John Walker,- ,,,1938,BU,,,
Wilkens,Ray,Ray Wilkens,- ,,,1938,BU,,,
Williams,Lytle,Lytle Williams,- ,,,1938,BU,,,
Blasenak,Howard,Howard Blasenak,- ,,,1939,BU,,,
Bott,David,David Bott,- ,,,1939,BU,,,
Brown,Paul,Paul Brown,- ,,,1939,BU,,,
Chambers,John,John Chambers,5-9 ,7/9/1917,"Needham, Massachusetts",1939,BU,Needham,Massachusetts,United States
Conaty,Joe,Joe Conaty,- ,,,1939,BU,,,
Dewhurst,Dave,Dave Dewhurst,- ,,,1939,BU,,,
Elliott,John,John Elliott,- ,,,1939,BU,,,
Farrell,Ed,Ed Farrell,- ,,,1939,BU,,,
Hall,Robert,Robert Hall,- ,,,1939,BU,,,
Hines,Bud,Bud Hines,- ,,,1939,BU,,,
Lange,Bob,Bob Lange,- ,,,1939,BU,,,
Lind,Bob,Bob Lind,- ,,,1939,BU,,,
Reed,Larry,Larry Reed,- ,,,1939,BU,,,
Richardson,Ed,Ed Richardson,- ,,,1939,BU,,,
Richardson,Earl,Earl Richardson,- ,,,1939,BU,,,
Shoemaker,Bill,Bill Shoemaker,- ,,,1939,BU,,,
Sullivan,Henry,Henry Sullivan,- ,,,1939,BU,,,
Wilkens,Ray,Ray Wilkens,- ,,,1939,BU,,,
Blasenak,Howard,Howard Blasenak,- ,,,1940,BU,,,
Bott,David,David Bott,- ,,,1940,BU,,,
Breeyear,Bill,Bill Breeyear,- ,,,1940,BU,,,
Brown,Will,Will Brown,- ,,,1940,BU,,,
Brown,Paul,Paul Brown,- ,,,1940,BU,,,
Chambers,John,John Chambers,5-9 ,7/9/1917,"Needham, Massachusetts",1940,BU,Needham,Massachusetts,United States
Davidson,James,James Davidson,- ,,,1940,BU,,,
Dewhurst,Dave,Dave Dewhurst,- ,,,1940,BU,,,
Farrell,Ed,Ed Farrell,- ,,,1940,BU,,,
Hines,Bud,Bud Hines,- ,,,1940,BU,,,
MacArthur,Burt,Burt MacArthur,- ,8/14/1920,"Halifax, Nova Scotia",1940,BU,Halifax,Nova Scotia,Canada
Neilson,George,George Neilson,- ,,,1940,BU,,,
Pollard,Bill,Bill Pollard,- ,,,1940,BU,,,
Reed,Larry,Larry Reed,- ,,,1940,BU,,,
Shoemaker,Bill,Bill Shoemaker,- ,,,1940,BU,,,
Sullivan,Henry,Henry Sullivan,- ,,,1940,BU,,,
Anderson,Francis,Francis Anderson,- ,,,1941,BU,,,
Balmforth,Ed,Ed Balmforth,- ,,,1941,BU,,,
Blasenak,Howard,Howard Blasenak,- ,,,1941,BU,,,
Breeyear,Bill,Bill Breeyear,- ,,,1941,BU,,,
Brown,Will,Will Brown,- ,,,1941,BU,,,
Cargill,Philip,Philip Cargill,- ,,,1941,BU,,,
Carle,Owen,Owen Carle,- ,,,1941,BU,,,
Crowley,Robert,Robert Crowley,- ,,,1941,BU,,,
Cugini,Larry,Larry Cugini,- ,,,1941,BU,,,
Davidson,James,James Davidson,- ,,,1941,BU,,,
Dorr,Ernie,Ernie Dorr,- ,,,1941,BU,,,
Fernald,Denny,Denny Fernald,- ,,,1941,BU,,,
Gulley,Leo,Leo Gulley,- ,,,1941,BU,,,
Kuhn,William,William Kuhn,- ,,,1941,BU,,,
MacArthur,Burt,Burt MacArthur,- ,8/14/1920,"Halifax, Nova Scotia",1941,BU,Halifax,Nova Scotia,Canada
Neilson,George,George Neilson,- ,,,1941,BU,,,
O'Sullivan,Pete,Pete O'Sullivan,- ,,,1941,BU,,,
Richey,George,George Richey,- ,,,1941,BU,,,
Shoemaker,Bill,Bill Shoemaker,- ,,,1941,BU,,,
Spang,John,John Spang,- ,,,1941,BU,,,
Sullivan,Henry,Henry Sullivan,- ,,,1941,BU,,,
Anderson,Francis,Francis Anderson,- ,,,1942,BU,,,
Balmforth,Ed,Ed Balmforth,- ,,,1942,BU,,,
Barr,David,David Barr,- ,,,1942,BU,,,
Black,Charlie,Charlie Black,- ,,,1942,BU,,,
Breeyear,Bill,Bill Breeyear,- ,,,1942,BU,,,
Carle,Owen,Owen Carle,- ,,,1942,BU,,,
Davidson,James,James Davidson,- ,,,1942,BU,,,
Dodge,Jack,Jack Dodge,- ,,,1942,BU,,,
Dorr,Ernie,Ernie Dorr,- ,,,1942,BU,,,
Dutton,Larry,Larry Dutton,- ,,,1942,BU,,,
Figueria,Ed,Ed Figueria,- ,,,1942,BU,,,
Keaton,X,X Keaton,- ,,,1942,BU,,,
Kuhn,William,William Kuhn,- ,,,1942,BU,,,
Lirakis,Alexander,Alexander Lirakis,- ,,,1942,BU,,,
MacArthur,Burt,Burt MacArthur,- ,8/14/1920,"Halifax, Nova Scotia",1942,BU,Halifax,Nova Scotia,Canada
McCarthy,Robert,Robert McCarthy,- ,,,1942,BU,,,
Moran,Jim,Jim Moran,- ,,,1942,BU,,,
Neilson,George,George Neilson,- ,,,1942,BU,,,
Nesbitt,Jim,Jim Nesbitt,- ,,,1942,BU,,,
Page,Guy,Guy Page,- ,,,1942,BU,,,
Richey,George,George Richey,- ,,,1942,BU,,,
Stone,Walt,Walt Stone,- ,,,1942,BU,,,
Sullivan,John,John Sullivan,- ,,,1942,BU,,,
Walsh,Jim,Jim Walsh,- ,,,1942,BU,,,
Walworth,Walter,Walter Walworth,- ,,,1942,BU,,,
Whalen,Thomas,Thomas Whalen,- ,,,1942,BU,,,
Anderson,Francis,Francis Anderson,- ,,,1945,BU,,,
Brown,Will,Will Brown,- ,,,1945,BU,,,
Cleary,Don,Don Cleary,- ,,"Cambridge, Massachusetts",1945,BU,Cambridge,Massachusetts,United States
Dutton,Larry,Larry Dutton,- ,,,1945,BU,,,
Fernald,Denny,Denny Fernald,- ,,,1945,BU,,,
Figueria,Ed,Ed Figueria,- ,,,1945,BU,,,
Foley,Raymond,Raymond Foley,- ,,,1945,BU,,,
Forbes,Benjamin,Benjamin Forbes,- ,,,1945,BU,,,
Gould,Edward,Edward Gould,- ,,,1945,BU,,,
Gray,Bob,Bob Gray,- ,,,1945,BU,,,
Kirrane,William,William Kirrane,- ,,,1945,BU,,,
Lirakis,Alexander,Alexander Lirakis,- ,,,1945,BU,,,
Mains,Charlie,Charlie Mains,- ,,,1945,BU,,,
McGinley,Dick,Dick McGinley,- ,,,1945,BU,,,
O'Riordan,Ed,Ed O'Riordan,- ,,,1945,BU,,,
Quinn,David,David Quinn,- ,,,1945,BU,,,
Smith,James,James Smith,- ,,,1945,BU,,,
St. Hiliaire,Gene,Gene St. Hiliaire,- ,,,1945,BU,,,
Crowley,Dan,Dan Crowley,- ,12/10/1920,"Medford, Massachusetts",1946,BU,Medford,Massachusetts,United States
Anderson,Francis,Francis Anderson,- ,,,1946,BU,,,
Cleary,Don,Don Cleary,- ,,"Cambridge, Massachusetts",1946,BU,Cambridge,Massachusetts,United States
Clopeck,Jack,Jack Clopeck,- ,,,1946,BU,,,
Dutton,Larry,Larry Dutton,- ,,,1946,BU,,,
Figueria,Ed,Ed Figueria,- ,,,1946,BU,,,
Forbes,Benjamin,Benjamin Forbes,- ,,,1946,BU,,,
Gleason,Jerome,Jerome Gleason,- ,,,1946,BU,,,
Haynes,Irving,Irving Haynes,- ,,,1946,BU,,,
Hixon,Dana,Dana Hixon,- ,,,1946,BU,,,
Jurgelevich,William,William Jurgelevich,- ,,,1946,BU,,,
Kirrane,William,William Kirrane,- ,,,1946,BU,,,
Maker,Robert,Robert Maker,- ,,,1946,BU,,,
Reynolds,James,James Reynolds,- ,,,1946,BU,,,
Smith,James,James Smith,- ,,,1946,BU,,,
Stone,Walt,Walt Stone,- ,,,1946,BU,,,
Bevins,Ralph,Ralph Bevins,- ,10/7/1924,,1946,BU,,,
Anderson,Walt,Walt Anderson,- ,,"Waltham, Massachusetts",1947,BU,Waltham,Massachusetts,United States
Bell,Bob,Bob Bell,- ,,"Framingham, Massachusetts",1947,BU,Framingham,Massachusetts,United States
Cleary,Don,Don Cleary,- ,,"Cambridge, Massachusetts",1947,BU,Cambridge,Massachusetts,United States
Clopeck,Jack,Jack Clopeck,- ,,,1947,BU,,,
Dockrell,Donald,Donald Dockrell,- ,,,1947,BU,,,
Dutton,Larry,Larry Dutton,- ,,,1947,BU,,,
Forbes,Benjamin,Benjamin Forbes,- ,,,1947,BU,,,
Gibson,Bill,Bill Gibson,- ,,,1947,BU,,,
Gleason,Jerome,Jerome Gleason,- ,,,1947,BU,,,
Haynes,Irving,Irving Haynes,- ,,,1947,BU,,,
Hixon,Dana,Dana Hixon,- ,,,1947,BU,,,
